driverId,raceId,finalPosition,gridPosition,points,qual1,qual2,qual3
832,1074,2,3,18.0,00:01:31.5670000,00:01:30.7870000,00:01:30.6870000
832,1075,3,3,15.0,00:01:28.8550000,00:01:28.6860000,00:01:28.4020000
832,1076,-1,9,0.0,00:01:18.9830000,00:01:18.4690000,00:01:19.4080000
832,1077,-1,4,0.0,00:01:19.3050000,00:01:18.9900000,NULL
832,1079,4,3,12.0,00:01:19.8920000,00:01:19.4530000,00:01:19.1660000
832,1080,2,2,18.0,00:01:12.6160000,00:01:12.0740000,00:01:11.6010000
832,1081,-1,4,0.0,00:01:42.9570000,00:01:42.0880000,00:01:41.8140000
832,1082,2,3,19.0,00:01:32.7810000,00:01:25.1970000,00:01:22.0960000
832,1083,1,1,25.0,00:01:40.1900000,00:01:41.6020000,00:01:40.9830000
832,1084,-1,3,0.0,00:01:05.6600000,00:01:05.5760000,00:01:05.0660000
832,1085,5,19,11.0,00:01:32.2970000,00:01:31.0810000,NULL
832,1086,4,2,12.0,00:01:18.4340000,00:01:17.9460000,00:01:17.4210000
832,1087,3,1,15.0,00:01:45.0500000,00:01:45.4180000,00:01:44.2970000
832,1088,8,3,4.0,00:01:11.7670000,00:01:10.8140000,00:01:10.4340000
832,1089,4,18,12.0,00:01:21.3480000,00:01:20.8780000,00:01:20.4290000
832,1091,3,4,15.0,00:01:54.5590000,00:01:53.2190000,00:01:49.5830000
832,1092,-1,3,0.0,00:01:30.3360000,00:01:30.4440000,00:01:29.3610000
832,1094,5,5,10.0,00:01:19.5660000,00:01:18.5600000,00:01:18.3510000
832,1095,3,7,15.0,00:01:14.6800000,00:01:10.8900000,00:01:12.3570000
832,1096,4,4,12.0,00:01:25.0900000,00:01:24.5210000,00:01:24.2420000
832,1098,4,4,12.0,00:01:30.9930000,00:01:30.5150000,00:01:30.1540000
832,1099,6,4,8.0,00:01:29.4110000,00:01:28.9570000,00:01:28.9310000
832,1100,12,5,0.0,00:01:17.9280000,00:01:17.3490000,00:01:17.2700000
832,1101,5,4,10.0,00:01:42.1970000,00:01:41.3690000,00:01:41.0160000
832,1104,8,4,4.0,00:01:12.7170000,00:01:12.2100000,00:01:11.6300000
832,1105,5,2,10.0,00:01:13.4110000,00:01:12.7900000,00:01:12.7340000
832,1106,5,11,10.0,00:01:22.2480000,00:01:19.8560000,00:01:29.2940000
832,1107,6,3,8.0,00:01:05.3390000,00:01:04.9750000,00:01:04.5810000
832,1108,10,5,1.0,00:01:29.8650000,00:01:28.2650000,00:01:27.1480000
832,1109,8,11,4.0,00:01:18.3930000,00:01:17.7030000,NULL
832,1110,-1,4,0.0,00:01:58.6880000,00:01:51.7110000,00:01:47.1520000
832,1111,5,6,10.0,00:01:21.3210000,00:01:19.9290000,00:01:11.7540000
832,1112,3,1,15.0,00:01:21.9650000,00:01:20.9910000,00:01:20.2940000
832,1113,1,1,25.0,00:01:32.3390000,00:01:31.4390000,00:01:30.9840000
832,1114,6,6,8.0,00:01:30.6510000,00:01:30.0670000,00:01:29.8500000
832,1115,-1,12,0.0,00:01:25.8080000,00:01:25.3280000,NULL
832,1117,4,2,12.0,00:01:18.7550000,00:01:18.3820000,00:01:17.2330000
832,1118,6,7,8.0,00:01:10.6240000,00:01:10.2540000,00:01:11.9890000
832,1119,6,12,8.0,00:01:33.8510000,00:01:33.3380000,00:01:32.7700000
832,1120,18,16,0.0,00:01:24.7380000,NULL,NULL
832,1121,3,4,15.0,00:01:29.9090000,00:01:29.5730000,00:01:29.5070000
832,1123,1,2,25.0,00:01:16.7310000,00:01:16.1890000,00:01:16.1850000
832,1124,3,4,15.0,00:01:29.5130000,00:01:29.0990000,00:01:28.6820000
832,1125,5,7,10.0,00:01:34.9700000,00:01:34.3680000,00:01:34.2970000
832,1127,5,4,10.0,00:01:16.0150000,00:01:15.5120000,00:01:15.2330000
832,1128,3,3,15.0,00:01:11.5430000,00:01:11.0750000,00:01:10.5180000
832,1129,-1,12,0.0,00:01:13.0380000,00:01:12.7280000,NULL
832,1130,6,6,8.0,00:01:12.4030000,00:01:11.8740000,00:01:11.7360000
832,1131,3,4,15.0,00:01:05.2630000,00:01:05.0160000,00:01:04.8510000
832,1132,5,7,11.0,00:01:30.5570000,00:01:26.8430000,00:01:26.5090000
832,1133,6,4,8.0,00:01:17.2440000,00:01:15.8850000,00:01:15.6960000
832,1134,6,7,8.0,00:01:55.1690000,00:01:54.1120000,00:01:54.4770000
832,1135,5,10,10.0,00:01:11.3270000,00:01:10.9140000,NULL
832,1136,4,5,12.0,00:01:20.1490000,00:01:19.7990000,00:01:19.4670000
832,1137,18,3,0.0,00:01:43.3570000,00:01:42.5030000,00:01:41.8050000
832,1138,7,10,6.0,00:01:30.6700000,00:01:30.1080000,NULL
